식품명,식품대분류명,에너지(kcal),단백질(g),당류(g),포화지방산(g),나트륨(mg),식이섬유(g),score_energy,score_sugar,score_satfat,score_sodium,food_group_score,kfni_total_score,kfni_grade
크로플_오레오 크로플 생크림,빵 및 과자류,235,4.55,10.0,6.36,211.0,,2,2,2,1,5,12,D
크로플_생딸기생크림 크로플,빵 및 과자류,272,4.49,7.69,12.18,168.0,,2,2,3,0,5,12,D
피자_페페로니 피자 (L),빵 및 과자류,271,12.91,5.48,5.73,388.0,,2,1,2,2,5,12,D
케이크_블랙쿠키 케이크,빵 및 과자류,304,4.12,8.35,4.71,215.0,,3,2,2,1,5,13,D
케이크_생딸기치즈 케이크,빵 및 과자류,250,3.0,11.0,6.0,70.0,,2,2,2,0,5,11,D
비스킷/쿠키/크래커_5가지 스낵 & 3way 파우치,빵 및 과자류,309,3.36,12.75,1.4,68.0,,3,3,0,0,5,11,D
케이크_생딸기요거트 케이크,빵 및 과자류,265,4.0,14.0,7.0,95.0,,2,3,2,0,5,12,D
케이크_새코롬 돌코롬 한라봉 케이크,빵 및 과자류,317,5.0,35.83,7.5,88.0,,3,3,2,0,5,13,D
케이크_쁘띠복숭아 케이크,빵 및 과자류,259,6.29,21.68,11.19,105.0,,2,3,3,0,5,13,D
케이크_블루베리요거트 케이크,빵 및 과자류,295,4.0,15.0,3.2,70.0,,3,3,1,0,5,12,D
케이크_블루베리스틱 케이크,빵 및 과자류,271,6.67,8.89,10.44,178.0,,2,2,3,0,5,12,D
피자_페퍼로니 피자 치즈크러스트 (F),빵 및 과자류,299,18.71,2.71,4.14,193.0,,3,0,2,1,5,11,D
베이글_어니언 베이글,빵 및 과자류,258,9.09,5.45,1.0,522.0,,2,1,0,3,5,11,D
베이글_어니언 베이글,빵 및 과자류,291,10.0,11.82,0.91,427.0,,3,2,0,2,5,12,D
베이글_어니언베이글&크림치즈,빵 및 과자류,293,10.0,5.0,0.6,410.0,,3,1,0,2,5,11,D
베이글_어니언 베이글,빵 및 과자류,293,10.0,5.0,0.6,410.0,,3,1,0,2,5,11,D
베이글_월넛 크림치즈 베이글,빵 및 과자류,322,10.0,6.67,7.22,393.0,,3,1,2,2,5,13,D
베이글_치즈 베이글,빵 및 과자류,324,10.0,7.27,4.64,172.0,,3,1,2,0,5,11,D
비스킷/쿠키/크래커_그릭요거트그래놀라바,빵 및 과자류,429,5.71,25.71,5.14,157.0,,3,3,2,0,5,13,D
마카롱_바닐라 마카롱,빵 및 과자류,396,4.17,37.5,6.67,21.0,,3,3,2,0,5,13,D
마카롱_산딸기 마카롱,빵 및 과자류,378,7.41,62.96,3.7,93.0,,3,3,1,0,5,12,D
비스킷/쿠키/크래커_돼지바 쿠키,빵 및 과자류,384,5.83,19.17,6.42,103.0,,3,3,2,0,5,13,D
크로플_누텔라 초코범벅에 미치다 이쁜 너를 위한 생딸기,빵 및 과자류,251,4.74,8.42,5.26,182.0,,2,2,2,1,5,12,D
크로플_누텔라 크로플,빵 및 과자류,225,4.0,17.0,10.0,145.0,,1,3,3,0,5,12,D
크로플_누텔라 아이스크림 크로플,빵 및 과자류,260,4.0,14.67,8.0,172.0,,2,3,3,0,5,13,D
캔디_씨프렌즈 캔디,빵 및 과자류,392,0.0,68.0,0.0,10.0,,3,3,0,0,5,11,D
소금빵_고짠고짠소금버터링,빵 및 과자류,325,8.33,3.33,6.83,650.0,,3,0,2,3,5,13,D
케이크_생크림 케이크 2호A,빵 및 과자류,278,4.45,18.78,9.04,95.0,,2,3,3,0,5,13,D
케이크_블레싱 레드베리 미니 케이크,빵 및 과자류,203,3.53,12.94,4.12,71.0,,1,3,2,0,5,11,D
크로플_전여친 생각 크로플 생크림,빵 및 과자류,360,5.0,45.0,5.0,175.0,,3,3,2,0,5,13,D
케이크_블레싱 초코베리 미니 케이크,빵 및 과자류,226,4.12,13.53,4.12,76.0,,1,3,2,0,5,11,D
크로플_체다치즈 크로플,빵 및 과자류,222,4.0,9.0,10.0,152.0,,1,2,3,0,5,11,D
크로플_초코 아이스크림 크로플,빵 및 과자류,234,7.0,17.2,9.0,178.0,,2,3,3,0,5,13,D
크로플_초코 아이스크림 크로플,빵 및 과자류,188,3.41,13.66,5.85,105.0,,1,3,2,0,5,11,D
크로플_생크림 블루베리 크로플,빵 및 과자류,215,4.0,8.0,10.0,154.0,,1,2,3,0,5,11,D
크로플_생크림 샤인머스캣 크로플,빵 및 과자류,226,4.0,9.0,10.0,155.0,,1,2,3,0,5,11,D
크로플_생크림 오레오 크로플,빵 및 과자류,288,5.0,20.0,7.0,140.0,,3,3,2,0,5,13,D
크로플_생크림 위에 뛰노는 큐브퐁듀 크로플,빵 및 과자류,275,5.0,15.83,7.5,203.0,,2,3,2,1,5,13,D
크로플_생크림 큐브블루베리 크로스 크로플,빵 및 과자류,208,3.81,12.38,4.76,170.0,,1,3,2,0,5,11,D
크로플_생크림인절미 크로플,빵 및 과자류,253,6.36,9.09,5.45,170.0,,2,2,2,0,5,11,D
크로플_블루베리요거트 아이스크림 크로플,빵 및 과자류,175,3.41,14.63,4.88,101.0,,1,3,2,0,5,11,D
크로플_사과품은 크로플,빵 및 과자류,220,4.0,15.0,10.0,150.0,,1,3,3,0,5,12,D
크로플_누텔라 초코범벅에 미치다,빵 및 과자류,281,6.0,10.0,7.33,230.0,,2,2,2,1,5,12,D
크로플_누텔라 초코범벅에 미치다 딸기,빵 및 과자류,251,4.74,8.42,5.26,182.0,,2,2,2,1,5,12,D
마카롱_산딸기 마카롱,빵 및 과자류,400,4.0,48.0,4.4,40.0,,3,3,2,0,5,13,D
케이크_생크림 케이크 1호A,빵 및 과자류,262,3.2,15.8,10.4,66.0,,2,3,3,0,5,13,D
비스킷/쿠키/크래커_꿀오란다,빵 및 과자류,500,13.33,23.33,7.0,167.0,,3,3,2,0,5,13,D
비스킷/쿠키/크래커_라이스 칩 블루베리잼,빵 및 과자류,400,8.57,,0.0,206.0,,3,3,0,1,5,12,D
케이크_블루베리 크림치즈 케이크,빵 및 과자류,281,4.65,24.42,9.19,170.0,,2,3,3,0,5,13,D
케이크_블루베리 요거트 케이크,빵 및 과자류,261,2.22,25.56,6.67,59.0,,2,3,2,0,5,12,D
케이크_블루베리 요거트 케이크,빵 및 과자류,261,2.22,25.56,6.67,59.0,,2,3,2,0,5,12,D
케이크_블레싱초코베리 케이크,빵 및 과자류,240,4.0,13.0,3.9,75.0,,2,3,2,0,5,12,D
마카롱_바닐라 마카롱,빵 및 과자류,519,7.41,51.85,7.41,74.0,,3,3,2,0,5,13,D
마카롱_바닐라 마카롱,빵 및 과자류,470,10.0,46.67,6.0,40.0,,3,3,2,0,5,13,D
피자_페퍼로니 피자,빵 및 과자류,307,16.19,3.81,5.71,419.0,,3,1,2,2,5,13,D
샌드위치_올리브치킨 파니니,빵 및 과자류,265,16.02,0.49,4.37,461.0,,2,0,2,3,5,12,D
베이글_어니언 베이글,빵 및 과자류,280,7.76,6.03,2.41,534.0,,2,1,1,3,5,12,D
베이글_데일리블루베리 베이글,빵 및 과자류,288,8.57,9.52,0.29,331.0,,3,2,0,1,5,11,D
베이글_플레인 베이글,빵 및 과자류,280,10.58,10.58,1.76,414.0,,2,2,1,2,5,12,D
베이글_플레인 베이글,빵 및 과자류,295,11.0,6.0,0.6,390.0,,3,1,0,2,5,11,D
베이글_플레인 베이글,빵 및 과자류,277,10.0,10.91,1.36,418.0,,2,2,0,2,5,11,D
베이글_플레인 베이글,빵 및 과자류,316,10.91,10.0,0.45,446.0,,3,2,0,2,5,12,D
베이글_플레인 베이글,빵 및 과자류,251,10.0,4.55,1.0,462.0,,2,1,0,3,5,11,D
베이글_플레인 베이글,빵 및 과자류,277,9.09,11.82,0.91,418.0,,2,2,0,2,5,11,D
베이글_플레인 베이글,빵 및 과자류,273,10.0,6.36,0.36,509.0,,2,1,0,3,5,11,D
베이글_플레인 베이글,빵 및 과자류,298,10.0,4.0,0.7,400.0,,3,1,0,2,5,11,D
베이글_플레인 베이글,빵 및 과자류,280,10.58,10.93,1.41,414.0,,2,2,0,2,5,11,D
베이글_플레인베이글,빵 및 과자류,264,9.09,8.18,0.0,436.0,,2,2,0,2,5,11,D
베이글_플레인 베이글피자,빵 및 과자류,239,7.78,5.56,3.67,478.0,,2,1,1,3,5,12,D
베이글_데일리월넛 베이글,빵 및 과자류,370,9.52,8.57,0.29,432.0,,3,2,0,2,5,12,D
베이글_블루베리 베이글&허니월넛크림치즈,빵 및 과자류,273,6.83,11.8,2.3,689.0,,2,2,1,3,5,13,D
베이글_멀티그레인 베이글,빵 및 과자류,303,9.02,5.74,2.05,459.0,,3,1,1,3,5,13,D
베이글_멀티그레인 베이글&허니월넛크림치즈,빵 및 과자류,296,8.38,5.99,2.28,473.0,,3,1,1,3,5,13,D
피자_페퍼로니 피자 마니아 파마산엣지 (M),빵 및 과자류,276,13.55,2.7,5.13,603.0,,2,0,2,3,5,12,D
피자_페퍼로니 피자 마니아 파마산엣지 (L),빵 및 과자류,276,13.56,2.79,5.29,616.0,,2,0,2,3,5,12,D
케이크_생크림 케이크 6호B,빵 및 과자류,252,3.9,16.98,8.47,92.0,,2,3,3,0,5,13,D
베이글_베이글 먹물치즈,빵 및 과자류,249,9.52,6.67,0.29,547.0,,2,1,0,3,5,11,D
베이글_베이글 크랜베리·호두,빵 및 과자류,286,13.33,5.71,2.67,500.0,,3,1,1,3,5,13,D
베이글_베이글 플레인,빵 및 과자류,200,20.95,1.9,7.62,590.0,,1,0,3,3,5,12,D
베이글_블랙올리브 베이글&어니언부추크림치즈,빵 및 과자류,279,7.54,5.03,7.54,588.0,,2,1,2,3,5,13,D
베이글_블랙올리브 베이글(파베이크),빵 및 과자류,288,7.5,5.83,3.08,525.0,,3,1,1,3,5,13,D
베이글_플레인 베이글,빵 및 과자류,316,10.91,10.0,0.45,446.0,,3,2,0,2,5,12,D
베이글_소시지 인 치즈 베이글,빵 및 과자류,283,12.96,1.85,4.63,815.0,,3,0,2,3,5,13,D
베이글_블루베리 베이글,빵 및 과자류,251,10.0,4.55,1.0,462.0,,2,1,0,3,5,11,D
베이글_시금치바질&토마토크림치즈,빵 및 과자류,271,7.32,5.37,5.85,488.0,,2,1,2,3,5,13,D
베이글_어니언 베이글&고추장아찌크림치즈,빵 및 과자류,258,7.0,5.5,6.5,570.0,,2,1,2,3,5,13,D
베이글_쫀득쫀득소시지 베이글,빵 및 과자류,284,12.61,2.7,6.31,613.0,,3,0,2,3,5,13,D
베이글_치즈 베이글,빵 및 과자류,279,10.83,10.83,1.42,438.0,,2,2,0,2,5,11,D
베이글_콘치즈피자 베이글,빵 및 과자류,226,8.33,5.56,3.4,514.0,,1,1,1,3,5,11,D
베이글_크림치즈 프레즐,빵 및 과자류,279,8.0,8.0,4.0,413.0,,2,2,2,2,5,13,D
베이글_트러플치즈 베이글,빵 및 과자류,273,10.0,5.45,1.91,445.0,,2,1,1,2,5,11,D
베이글_플레인 리코타 치즈 베이글,빵 및 과자류,242,8.33,7.5,0.83,400.0,,2,2,0,2,5,11,D
베이글_플레인 베이글,빵 및 과자류,298,10.0,4.0,1.0,400.0,,3,1,0,2,5,11,D
피자_페퍼로니 피자 마니아 에어도우 (L),빵 및 과자류,274,13.07,2.87,5.05,601.0,,2,0,2,3,5,12,D
피자_멜팅하와이안 피자 (L),빵 및 과자류,277,13.0,6.0,4.37,218.0,,2,1,2,1,5,11,D
베이글_플레인 베이글,빵 및 과자류,281,10.91,11.0,1.36,394.0,,2,2,0,2,5,11,D
베이글_플레인 베이글,빵 및 과자류,267,7.76,6.03,1.9,509.0,,2,1,1,3,5,12,D
베이글_플레인 베이글&허니월넛크림치즈(파베이크),빵 및 과자류,290,7.93,6.71,2.99,530.0,,3,1,1,3,5,13,D
베이글_플레인 베이글(파베이크),빵 및 과자류,300,8.33,6.67,3.0,550.0,,3,1,1,3,5,13,D
피자_페퍼로니 피자 라이스바이트 (F),빵 및 과자류,292,16.55,2.68,4.31,227.0,,3,0,2,1,5,11,D
샌드위치_BELT 클럽 샌드위치,빵 및 과자류,232,9.47,3.16,4.21,505.0,,1,0,2,3,5,11,D
샌드위치_BLT 샌드위치,빵 및 과자류,243,8.0,2.0,8.0,347.0,,2,0,3,2,5,12,D
피자_페퍼로니 피자 (XL),빵 및 과자류,271,19.15,2.82,5.13,354.0,,2,0,2,2,5,11,D
샌드위치_떡갈비 치즈 곡물 샌드위치,빵 및 과자류,153,1.93,8.7,,362.0,,1,2,3,2,5,13,D
샌드위치_리코타 딸기 샌디,빵 및 과자류,225,3.38,18.0,5.28,128.0,,1,3,2,0,5,11,D
피자_페페로니 피자 리코타링 (R),빵 및 과자류,296,15.67,2.99,7.46,478.0,,3,0,2,3,5,13,D
샌드위치_멕시칸 파니니,빵 및 과자류,264,13.76,2.75,6.42,550.0,,2,0,2,3,5,12,D
베이글_시금치바질 베이글&플레인크림치즈,빵 및 과자류,273,7.5,5.5,6.5,495.0,,2,1,2,3,5,13,D
베이글_블랙올리브치즈 베이글,빵 및 과자류,274,7.94,5.56,2.62,500.0,,2,1,1,3,5,12,D
피자_페페로니 피자 리코타링 (L),빵 및 과자류,294,16.0,3.0,7.0,470.0,,3,0,2,3,5,13,D
샌드위치_올리브 베이컨 치아바타 샌드위치,빵 및 과자류,283,12.63,1.52,3.54,561.0,,3,0,1,3,5,12,D
식빵_고구마가달구마,빵 및 과자류,245,5.0,14.0,3.6,260.0,,2,3,1,1,5,12,D
식빵_굿모닝 식빵,빵 및 과자류,327,13.0,6.0,4.2,381.0,,3,1,2,2,5,13,D
샌드위치_크로크무슈,빵 및 과자류,277,14.89,3.55,8.51,589.0,,2,0,3,3,5,13,D
피자_페퍼로니 피자,빵 및 과자류,275,12.9,6.57,4.92,496.0,,2,1,2,3,5,13,D
샌드위치_바베큐치킨 파니니,빵 및 과자류,159,14.75,8.29,1.84,475.0,,1,2,1,3,5,12,D
피자_페페로니 피자 골드스윗 (L),빵 및 과자류,292,15.32,3.6,7.21,423.0,,3,0,2,2,5,12,D
피자_페페로니 피자 리코타링 (G),빵 및 과자류,296,15.56,2.22,7.41,474.0,,3,0,2,3,5,13,D
샌드위치_반반마요 에그 감자 샌드위치,빵 및 과자류,240,9.12,3.16,2.35,553.0,,2,0,1,3,5,11,D
샌드위치_베리머치감자 샌드위치,빵 및 과자류,238,3.33,6.67,5.83,225.0,,2,1,2,1,5,11,D
샌드위치_베리머치에그 샌드위치,빵 및 과자류,324,8.57,1.9,8.57,362.0,,3,0,3,2,5,13,D
샌드위치_브렉퍼스트 잉글리쉬 머핀,빵 및 과자류,260,12.0,2.0,4.67,547.0,,2,0,2,3,5,12,D
샌드위치_브리젤라,빵 및 과자류,253,5.26,16.84,7.37,158.0,,2,3,2,0,5,12,D
피자_페페로니 피자 리치골드 (M),빵 및 과자류,280,12.55,4.53,5.75,494.0,,2,1,2,3,5,13,D
피자_페페로니 피자 리치골드(L),빵 및 과자류,280,12.54,4.08,5.69,552.0,,2,1,2,3,5,13,D
샌드위치_샐러드빵,빵 및 과자류,185,6.92,8.46,2.69,346.0,,1,2,1,2,5,11,D
피자_페페로니 피자 골드스윗 (R),빵 및 과자류,291,14.67,3.33,7.33,419.0,,3,0,2,2,5,12,D
샌드위치_소프트 잠봉뵈르 샌드위치,빵 및 과자류,277,9.14,2.86,8.0,549.0,,2,0,3,3,5,13,D
샌드위치_스크램블에그 샌드위치,빵 및 과자류,279,10.59,4.12,5.88,412.0,,2,1,2,2,5,12,D
피자_페페로니 피자 골드스윗 (G),빵 및 과자류,291,15.23,3.31,7.28,421.0,,3,0,2,2,5,12,D
샌드위치_크로크무슈,빵 및 과자류,270,11.88,2.5,5.5,594.0,,2,0,2,3,5,12,D
샌드위치_에그 마요 샌드위치,빵 및 과자류,241,11.48,1.48,2.59,600.0,,2,0,1,3,5,11,D
피자_페페로니 피자 (M),빵 및 과자류,280,14.54,5.71,6.86,390.0,,2,1,2,2,5,12,D
피자_페페로니 피자 (L),빵 및 과자류,349,12.5,3.85,9.62,162.0,,3,1,3,0,5,12,D
피자_페페로니 피자 (L),빵 및 과자류,236,11.86,4.36,4.59,431.0,,2,1,2,2,5,12,D
식빵_공주밤 식빵,빵 및 과자류,281,1.6,10.4,3.1,220.0,,2,2,1,1,5,11,D
소세지빵_돌돌말린모짜렐라치즈소시지,빵 및 과자류,292,12.8,2.4,3.68,728.0,,3,0,1,3,5,12,D
샌드위치_미트 번 샌드위치,빵 및 과자류,254,5.89,7.26,3.74,661.0,,2,1,2,3,5,13,D
소보로빵_소보루생크림빵,빵 및 과자류,355,6.36,13.64,3.36,218.0,,3,3,1,1,5,13,D
샌드위치_바베큐 치킨 깜빠뉴 샌드위치,빵 및 과자류,273,14.0,2.67,2.67,1092.0,,2,0,1,3,5,11,D
피자_포슬포슬 감자 피자 씬 크러스트 (R),빵 및 과자류,270,10.88,3.0,5.28,356.0,,2,0,2,2,5,11,D
샌드위치_클래식루벤 샌드위치,빵 및 과자류,218,13.62,1.88,4.23,549.0,,1,0,2,3,5,11,D
샌드위치_토마토모짜렐라 샌드위치,빵 및 과자류,247,10.67,2.81,4.49,478.0,,2,0,2,3,5,12,D
샌드위치_통밀후레쉬 샌드위치 (H),빵 및 과자류,226,7.83,6.09,4.0,443.0,,1,1,2,2,5,11,D
샌드위치_통밀후레쉬 샌드위치,빵 및 과자류,226,7.83,6.09,4.0,443.0,,1,1,2,2,5,11,D
케이크_생크림 케이크 6호A,빵 및 과자류,256,3.91,15.65,9.06,93.0,,2,3,3,0,5,13,D
샌드위치_햄치즈 잉글리쉬머핀 샌드위치,빵 및 과자류,259,11.67,6.67,2.67,439.0,,2,1,1,2,5,11,D
피자_포테이토 피자 씬 (M),빵 및 과자류,254,9.85,2.98,6.36,373.0,,2,0,2,2,5,11,D
피자_포테이토 피자 씬 (L),빵 및 과자류,241,9.56,2.95,6.13,370.0,,2,0,2,2,5,11,D
샌드위치_매콤치킨랩 샌드위치,빵 및 과자류,182,8.0,13.6,2.8,324.0,,1,3,1,1,5,11,D
샌드위치_멜팅치즈 샌드위치,빵 및 과자류,329,13.33,5.0,7.5,400.0,,3,1,2,2,5,13,D
샌드위치_바질토마토 치킨 소금빵,빵 및 과자류,292,14.94,3.45,4.6,448.0,,3,0,2,2,5,12,D
샌드위치_불고기치즈 바게트,빵 및 과자류,279,10.91,4.24,6.06,455.0,,2,1,2,2,5,12,D
피자_포새이돈 피자 (L),빵 및 과자류,241,12.09,6.29,3.74,419.0,,2,1,2,2,5,12,D
샌드위치_크로크무슈,빵 및 과자류,257,42.94,2.35,5.88,491.0,,2,0,2,3,5,12,D
샌드위치_에그마요 소금빵,빵 및 과자류,259,9.15,1.31,7.19,339.0,,2,0,2,2,5,11,D
샌드위치_에그쉬림프 샌드위치,빵 및 과자류,205,7.59,5.36,3.13,549.0,,1,1,1,3,5,11,D
피자_페페로니 피자 치즈크러스트 (M),빵 및 과자류,280,14.34,2.2,6.05,593.0,,2,0,2,3,5,12,D
소보로빵_찹쌀숨은 소보루,빵 및 과자류,290,8.0,11.0,2.7,397.0,,3,2,1,2,5,13,D
소보로빵_튀김 소보로,빵 및 과자류,394,7.06,22.35,4.12,176.0,,3,3,2,0,5,13,D
소보로빵_밤소보루맘모스,빵 및 과자류,288,7.14,17.86,3.57,200.0,,3,3,1,1,5,13,D
소보로빵_소보루 완두앙금빵,빵 및 과자류,248,5.71,20.0,2.76,248.0,,2,3,1,1,5,12,D
카스텔라_큐브 라이스 카스텔라,빵 및 과자류,323,7.5,40.0,0.0,55.0,,3,3,0,0,5,11,D
케이크_티라미슈 케이크,빵 및 과자류,290,5.06,21.06,4.0,81.0,,3,3,2,0,5,13,D
크로켓(고로케)_채소,빵 및 과자류,301,7.13,3.37,3.59,403.0,1.1,3,0,1,2,5,11,D
토스트_인절미 토스트,빵 및 과자류,342,8.99,7.3,6.18,407.0,,3,1,2,2,5,13,D
피자_풀드포크바베큐 피자 (F),빵 및 과자류,262,12.32,5.07,4.35,609.0,,2,1,2,3,5,13,D
토스트_인절미 카야 토스트,빵 및 과자류,261,5.43,12.5,2.23,374.0,,2,3,1,2,5,13,D
케이크_오리지널 티라미수 케이크,빵 및 과자류,307,6.04,9.01,8.71,71.0,,3,2,3,0,5,13,D
케이크_오색 치즈 크림 케이크,빵 및 과자류,317,3.96,13.86,5.94,104.0,,3,3,2,0,5,13,D
케이크_딸기와우유 생크림 3호,빵 및 과자류,278,4.32,18.72,9.36,96.0,,2,3,3,0,5,13,D
토스트_몬테크리스토 (H),빵 및 과자류,262,8.0,4.0,3.1,394.0,,2,1,1,2,5,11,D
케이크_얼그레이 샌드케이크,빵 및 과자류,338,4.62,13.85,3.85,50.0,,3,3,2,0,5,13,D
케이크_오해피복숭아 케이크,빵 및 과자류,287,4.55,24.63,7.48,109.0,,3,3,2,0,5,13,D
피자_포테이토 피자 (XL),빵 및 과자류,265,14.63,3.41,4.39,353.0,,2,0,2,2,5,11,D
토스트_마늘토스트,빵 및 과자류,306,7.27,7.27,5.45,448.0,,3,1,2,2,5,13,D
케이크_화이트 생크림 케이크 (조각),빵 및 과자류,262,3.81,12.38,7.62,81.0,,2,3,3,0,5,13,D
햄샌드위치_치즈,빵 및 과자류,252,8.3,2.48,5.4,446.0,1.9,2,0,2,2,5,11,D
파이/만주_로스팅호두로더고소한호두파이 (조각),빵 및 과자류,402,7.14,26.79,6.43,152.0,,3,3,2,0,5,13,D
케이크_요거생크림 케이크 1호,빵 및 과자류,216,2.96,18.06,7.55,64.0,,1,3,3,0,5,12,D
파이/만주_치킨 팟파이,빵 및 과자류,253,15.88,4.71,7.65,429.0,,2,1,3,2,5,13,D
케이크_오 마이 초코 케이크 (조각),빵 및 과자류,279,4.35,15.94,10.87,83.0,,2,3,3,0,5,13,D
토스트_촉촉한햄치즈 토스트,빵 및 과자류,253,10.0,7.0,4.8,441.0,,2,1,2,2,5,12,D
피자_풀드포크바베큐 피자 (P),빵 및 과자류,262,12.14,5.0,4.29,611.0,,2,1,2,3,5,13,D
토스트_카야 토스트,빵 및 과자류,315,7.55,10.38,5.66,289.0,,3,2,2,1,5,13,D
타르트_에그타르트,빵 및 과자류,280,4.0,10.0,9.2,220.0,,2,2,3,1,5,13,D
타르트_에그타르트,빵 및 과자류,264,6.0,18.0,5.0,108.0,,2,3,2,0,5,12,D
타르트_에그타르트,빵 및 과자류,297,5.9,11.1,7.5,83.0,,3,2,2,0,5,12,D
타르트_에그 타르트,빵 및 과자류,270,4.0,12.0,8.0,220.0,,2,2,3,1,5,13,D
케이크_오레오티라미수 케이크,빵 및 과자류,305,3.96,9.91,2.25,123.0,,3,2,1,0,5,11,D
케이크_오 마이 초코 케이크 (홀),빵 및 과자류,190,2.95,13.99,6.04,50.0,,1,3,2,0,5,11,D
토스트_햄 치즈 프렌치 토스트,빵 및 과자류,312,10.0,5.63,6.25,381.0,,3,1,2,2,5,13,D
토스트_오믈렛토스트,빵 및 과자류,269,11.54,4.62,4.62,608.0,,2,1,2,3,5,13,D
크림빵_요구르트 슈스틱,빵 및 과자류,275,5.0,13.33,3.33,92.0,,2,3,1,0,5,11,D
크림빵_순진우유크림빵,빵 및 과자류,264,7.14,14.29,5.14,229.0,,2,3,2,1,5,13,D
크로켓(고로케)_불고기피자 고로케,빵 및 과자류,277,4.5,4.0,4.0,348.0,,2,1,2,2,5,12,D
크로켓(고로케)_볶음김치 고로케,빵 및 과자류,290,6.67,4.44,4.0,294.0,,3,1,2,1,5,12,D
크로켓(고로케)_매콤마요 감동란 코로케,빵 및 과자류,296,9.0,3.0,6.54,502.0,,3,0,2,3,5,13,D
크로켓(고로케)_매콤마라모찌 (6개입),빵 및 과자류,313,1.39,6.94,3.61,597.0,,3,1,1,3,5,13,D
크로켓(고로케)_마늘치킨 고로케,빵 및 과자류,286,10.0,11.8,3.0,364.0,,3,2,1,2,5,13,D
크로켓(고로케)_남해마늘로만든마늘치킨 고로케,빵 및 과자류,286,10.0,11.82,3.0,364.0,,3,2,1,2,5,13,D
크림빵_스마일슈크림빵,빵 및 과자류,300,6.94,11.11,4.72,271.0,,3,2,2,1,5,13,D
크림빵_슈크림빵,빵 및 과자류,298,7.14,15.48,3.69,214.0,,3,3,1,1,5,13,D
케이크_우유듬뿍생크림 케이크(선샤인) 3호,빵 및 과자류,265,4.0,15.0,7.0,80.0,,2,3,2,0,5,12,D
크림빵_우유크림슈,빵 및 과자류,304,4.35,8.7,11.3,87.0,,3,2,3,0,5,13,D
"크림빵_순,딸기산도",빵 및 과자류,265,4.9,11.76,6.86,196.0,,2,2,2,1,5,12,D
케이크_인절미티라미수 케이크,빵 및 과자류,265,5.21,7.78,7.52,136.0,,2,2,2,0,5,11,D
크림빵_밀크크림브레드,빵 및 과자류,221,5.26,9.47,4.0,253.0,,1,2,2,1,5,11,D
크림빵_딸기흑임자크림빵,빵 및 과자류,286,5.19,11.69,9.09,156.0,,3,2,3,0,5,13,D
크림빵_크리미크로칸슈,빵 및 과자류,272,3.64,17.27,6.36,151.0,,2,3,2,0,5,12,D
크림빵_크리미 크로칸 슈,빵 및 과자류,272,3.64,17.27,,151.0,,2,3,3,0,5,13,D
크림빵_촉촉브래드,빵 및 과자류,296,7.27,1.82,6.36,227.0,,3,0,2,1,5,11,D
크림빵_초코크로칸슈,빵 및 과자류,277,3.64,17.27,5.45,148.0,,2,3,2,0,5,12,D
크림빵_우유생크림빵,빵 및 과자류,327,4.81,10.58,2.79,183.0,,3,2,1,1,5,12,D
피자_포테이토 피자 (L),빵 및 과자류,229,10.73,3.9,2.93,476.0,,1,1,1,3,5,11,D
타르트_오렌지타르트,빵 및 과자류,248,3.82,12.35,8.3,58.0,,2,3,3,0,5,13,D
케이크_사르르 연유수플레,빵 및 과자류,325,5.0,17.5,5.75,100.0,,3,3,2,0,5,13,D
토스트_통버터 프렌치토스트,빵 및 과자류,289,6.32,11.58,5.26,274.0,,3,2,2,1,5,13,D
크림빵_어니언크런치,빵 및 과자류,248,8.7,4.35,3.48,343.0,,2,1,1,2,5,11,D
케이크_우유가득생크림 케이크 2호,빵 및 과자류,250,4.0,13.0,8.0,85.0,,2,3,3,0,5,13,D
케이크_한라산 모카 수플레,빵 및 과자류,271,8.0,15.0,5.0,118.0,,2,3,2,0,5,12,D
피자_프리미엄포테이토 피자 (L),빵 및 과자류,242,12.6,5.93,3.54,456.0,,2,1,1,2,5,11,D
케이크_한라봉홍차 케이크,빵 및 과자류,252,3.85,20.0,5.38,146.0,,2,3,2,0,5,12,D
피자_프리미엄직화불고기 피자 (P),빵 및 과자류,272,11.93,5.5,3.67,579.0,,2,1,1,3,5,12,D
크로와상_생크림 크로와상,빵 및 과자류,557,6.67,6.67,30.0,273.0,,3,1,3,1,5,13,D
피자_프리미엄직화불고기 피자 (L),빵 및 과자류,272,11.88,5.63,3.75,577.0,,2,1,2,3,5,13,D
케이크_스트로베리쇼콜라갸또,빵 및 과자류,269,3.5,16.79,12.55,42.0,,2,3,3,0,5,13,D
장어 양념구이,구이류,331,16.5,5.14,5.68,774.0,1.7,3,1,2,3,3,12,D
케이크_스트로베리 크레이프 케이크,빵 및 과자류,250,5.0,14.0,8.0,40.0,,2,3,3,0,5,13,D
피자_포테이토 피자 크림치즈 (R),빵 및 과자류,235,9.24,5.43,4.89,339.0,,2,1,2,2,5,12,D
케이크_페스티벌생크림 케이크 6호A,빵 및 과자류,256,3.91,15.65,9.06,93.0,,2,3,3,0,5,13,D
케이크_진한우유생크림 케이크 2호,빵 및 과자류,249,3.04,17.04,8.91,75.0,,2,3,3,0,5,13,D
케이크_패밀리생크림 케이크 4호B,빵 및 과자류,272,3.96,19.0,8.51,98.0,,2,3,3,0,5,13,D
