식품명,식품대분류명,에너지(kcal),단백질(g),당류(g),포화지방산(g),나트륨(mg),식이섬유(g),score_energy,score_sugar,score_satfat,score_sodium,food_group_score,kfni_total_score,kfni_grade
크로와상_후랑크 소세지 크로와상,빵 및 과자류,306,8.0,4.0,8.0,420.0,,3,1,3,2,5,14,E
크로와상_흑당 크로플,빵 및 과자류,476,8.0,24.0,12.0,312.0,,3,3,3,1,5,15,E
크로와상_페페로니 크로플,빵 및 과자류,426,11.11,7.41,14.81,596.0,,3,2,3,3,5,16,E
크로와상_초코츄러스 크로와상,빵 및 과자류,504,8.0,16.0,20.0,324.0,,3,3,3,1,5,15,E
크림빵_민트초코 생크림 브레드,빵 및 과자류,309,4.15,17.36,9.43,295.0,,3,3,3,1,5,15,E
크림빵_리얼초코소라빵,빵 및 과자류,301,7.35,16.18,6.47,265.0,,3,3,2,1,5,14,E
샌드위치_카야토스트,빵 및 과자류,286,5.07,14.78,6.81,331.0,,3,3,2,1,5,14,E
크림빵_우유버터브레드,빵 및 과자류,383,7.59,17.93,14.48,241.0,,3,3,3,1,5,15,E
크림빵_왕구름크림빵,빵 및 과자류,359,6.12,19.18,8.57,286.0,,3,3,3,1,5,15,E
토스트_갈릭치즈토스트,빵 및 과자류,407,8.57,12.86,14.29,371.0,,3,3,3,2,5,16,E
샌드위치_콰트로치즈 파니니,빵 및 과자류,285,13.81,4.19,4.38,578.0,,3,1,2,3,5,14,E
크로와상_허니 고르곤졸라 크로와상,빵 및 과자류,600,16.67,8.33,25.0,529.0,,3,2,3,3,5,16,E
타르트_패스트리에빠진에그푸딩,빵 및 과자류,457,9.57,10.64,3.09,936.0,,3,2,1,3,5,14,E
타르트_호두타르트,빵 및 과자류,426,11.43,20.0,12.0,211.0,,3,3,3,1,5,15,E
타르트_호두듬뿍타르트,빵 및 과자류,430,8.0,14.0,9.6,540.0,,3,3,3,3,5,17,E
타르트_크림치즈 타르트,빵 및 과자류,433,7.5,17.5,12.5,173.0,,3,3,3,0,5,14,E
샌드위치_크로크무슈,빵 및 과자류,361,20.87,4.35,9.57,652.0,,3,1,3,3,5,15,E
샌드위치_크로크무슈,빵 및 과자류,422,20.0,3.57,11.43,792.0,,3,0,3,3,5,14,E
타르트_아몬드타르트,빵 및 과자류,426,11.71,23.43,11.14,209.0,,3,3,3,1,5,15,E
타르트_씨앗타르트,빵 및 과자류,417,11.71,22.86,14.29,211.0,,3,3,3,1,5,15,E
타르트_소프트 에그타르트,빵 및 과자류,330,6.0,14.0,7.4,220.0,,3,3,2,1,5,14,E
타르트_밀당 에그 타르트,빵 및 과자류,400,4.21,16.84,6.32,316.0,,3,3,2,1,5,14,E
크로와상_헤이즐넛초코 크로와상,빵 및 과자류,500,7.14,17.86,14.29,282.0,,3,3,3,1,5,15,E
크로와상_해시브라운 크로플,빵 및 과자류,808,40.0,56.0,12.0,340.0,,3,3,3,2,5,16,E
와플_티라미수 와플,빵 및 과자류,332,4.8,12.0,9.6,186.0,,3,2,3,1,5,14,E
크로와상_스노우미니크라상,빵 및 과자류,440,8.0,24.0,11.2,320.0,,3,3,3,1,5,15,E
크로와상_오리지널크라상,빵 및 과자류,440,6.9,13.79,15.52,414.0,,3,3,3,2,5,16,E
크로와상_오리지널생크림크라상,빵 및 과자류,429,6.41,11.54,17.95,295.0,,3,2,3,1,5,14,E
크로와상_오레오 크로와상,빵 및 과자류,431,6.25,15.63,15.63,288.0,,3,3,3,1,5,15,E
크로와상_에그베이컨 크로와상,빵 및 과자류,334,10.34,12.07,8.62,303.0,,3,3,3,1,5,15,E
크로와상_앙버터 크로플,빵 및 과자류,474,4.76,21.43,19.05,205.0,,3,3,3,1,5,15,E
크로와상_앙버터 크로와상,빵 및 과자류,445,5.0,10.0,20.0,213.0,,3,2,3,1,5,14,E
와플_티라미수 와플,빵 및 과자류,385,3.57,12.86,15.0,285.0,,3,3,3,1,5,15,E
크로와상_아몬드 크루아상,빵 및 과자류,482,10.8,14.0,14.8,216.0,,3,3,3,1,5,15,E
크로와상_슬라이스햄치즈크로,빵 및 과자류,391,9.76,6.0,14.63,634.0,,3,1,3,3,5,15,E
크로와상_스위트포테이토 크로플,빵 및 과자류,436,5.56,19.44,16.67,322.0,,3,3,3,1,5,15,E
크로와상_슈크림크로,빵 및 과자류,318,5.26,10.0,11.58,358.0,,3,2,3,2,5,15,E
크로와상_플레인 꽈루아상,빵 및 과자류,397,8.2,11.48,9.84,361.0,,3,2,3,2,5,15,E
크로와상_슈크림 크로와상,빵 및 과자류,380,8.57,11.43,11.43,249.0,,3,2,3,1,5,14,E
크로와상_기분좋은 초콜릿 크로와상,빵 및 과자류,358,7.69,16.92,7.69,271.0,,3,3,3,1,5,15,E
크로와상_크랜베리크로,빵 및 과자류,417,6.25,18.0,14.06,422.0,,3,3,3,2,5,16,E
피자_마르게리타 피자 씬 (L),빵 및 과자류,350,15.91,3.55,10.55,515.0,,3,0,3,3,5,14,E
크로와상_크루아상,빵 및 과자류,361,7.41,5.56,14.81,407.0,,3,1,3,2,5,14,E
크로와상_크림치즈 크로와상,빵 및 과자류,434,5.71,17.14,17.14,300.0,,3,3,3,1,5,15,E
크로와상_토피넛 꽈루아상,빵 및 과자류,332,5.98,17.95,6.84,233.0,,3,3,2,1,5,14,E
크로와상_통팥크로,빵 및 과자류,360,7.32,23.17,7.32,354.0,,3,3,2,2,5,15,E
와플_플레인 와플,빵 및 과자류,448,4.11,28.77,12.33,411.0,,3,3,3,2,5,16,E
와플_팥스노우 와플,빵 및 과자류,292,5.0,18.13,5.0,224.0,,3,3,2,1,5,14,E
치즈빵_다시만난크림치즈,빵 및 과자류,314,9.88,14.81,6.17,309.0,,3,3,2,1,5,14,E
치즈빵_동글동글순치즈,빵 및 과자류,392,8.49,18.87,12.26,340.0,,3,3,3,2,5,16,E
치즈빵_크림치즈월넛 브레드,빵 및 과자류,377,9.58,10.78,8.98,389.0,,3,2,3,2,5,15,E
와플_리얼빼빼로 와플,빵 및 과자류,423,5.71,20.0,11.43,180.0,,3,3,3,0,5,14,E
츄러스_콘소메 스틱츄,빵 및 과자류,320,5.36,13.49,1.15,565.0,,3,3,0,3,5,14,E
피자_치즈 피자 씬 (M),빵 및 과자류,311,15.05,2.97,9.57,607.0,,3,0,3,3,5,14,E
츄러스_치즈 스틱츄,빵 및 과자류,334,5.21,12.97,2.92,378.0,,3,3,1,2,5,14,E
츄러스_레인보우 초코 링츄,빵 및 과자류,370,6.71,18.41,3.78,385.0,,3,3,2,2,5,15,E
츄러스_츄로독,빵 및 과자류,289,9.39,9.69,3.7,650.0,,3,2,1,3,5,14,E
찰떡빵_울퉁불퉁왕찰떡빵 (소),빵 및 과자류,378,8.13,21.14,4.88,252.0,,3,3,2,1,5,14,E
피자_체다파인애플 피자 씬바샤삭 (R),빵 및 과자류,287,10.08,7.56,8.4,329.0,,3,2,3,1,5,14,E
와플_맥치플 맥앤치즈피자 와플,빵 및 과자류,301,8.13,4.38,6.25,578.0,,3,1,2,3,5,14,E
와플_망고크림치즈 와플,빵 및 과자류,311,4.07,17.07,7.32,238.0,,3,3,2,1,5,14,E
와플_말차티라미수 와플,빵 및 과자류,332,4.8,12.0,8.8,186.0,,3,2,3,1,5,14,E
와플_루토스생크림 와플,빵 및 과자류,374,4.08,14.97,12.93,182.0,,3,3,3,1,5,15,E
츄러스_톡톡 슈팅스타 링츄,빵 및 과자류,380,7.22,20.0,3.67,394.0,,3,3,1,2,5,14,E
번_호두카야번,빵 및 과자류,401,8.57,22.0,8.57,333.0,,3,3,3,2,5,16,E
피자_찐페퍼로니 피자 씬 크러스트,빵 및 과자류,351,16.93,2.64,8.27,473.0,,3,0,3,3,5,14,E
와플_달고나 아이스크림 와플,빵 및 과자류,244,2.27,19.32,5.11,390.0,,2,3,2,2,5,14,E
와플_피넛버터누텔라 와플,빵 및 과자류,384,7.45,15.96,6.38,207.0,,3,3,2,1,5,14,E
와플_크런키빼빼로 와플,빵 및 과자류,426,5.26,21.05,10.53,195.0,,3,3,3,1,5,15,E
와플_쿠키빼빼로 와플,빵 및 과자류,426,5.26,21.05,10.53,213.0,,3,3,3,1,5,15,E
피자_체다파인애플 피자 씬바샤삭 (L),빵 및 과자류,288,12.8,7.93,8.54,336.0,,3,2,3,2,5,15,E
와플_초코퐁듀 와플,빵 및 과자류,417,5.0,19.0,12.0,190.0,,3,3,3,1,5,15,E
와플_체리크림치즈 와플,빵 및 과자류,284,3.88,13.95,6.98,233.0,,3,3,2,1,5,14,E
피자_직화매운갈비 피자,빵 및 과자류,250,14.39,8.33,3.79,552.0,,2,2,2,3,5,14,E
츄러스_크리미 인절미 링츄,빵 및 과자류,368,8.31,12.77,3.25,418.0,,3,3,1,2,5,14,E
츄러스_흑임자 링츄,빵 및 과자류,414,6.96,11.27,3.67,474.0,,3,2,1,3,5,14,E
치즈빵_모짜렐라 치즈볼,빵 및 과자류,321,10.71,14.29,5.0,532.0,,3,3,2,3,5,16,E
츄러스_오리지널 링츄,빵 및 과자류,455,9.14,15.86,4.0,535.0,,3,3,2,3,5,16,E
케이크_딸기소보로컵 케이크,빵 및 과자류,337,2.41,30.92,13.55,82.0,,3,3,3,0,5,14,E
케이크_당근 현무암 케이크,빵 및 과자류,290,3.81,30.48,12.38,294.0,,3,3,3,1,5,15,E
치즈빵_화이트치즈볼 (4개입),빵 및 과자류,364,5.0,14.29,7.86,529.0,,3,3,3,3,5,17,E
치즈빵_화이트치즈볼 (5개입),빵 및 과자류,363,5.14,14.29,7.43,526.0,,3,3,2,3,5,16,E
치즈빵_고소짭짤 햄치즈브레드,빵 및 과자류,294,10.0,3.75,4.88,538.0,,3,1,2,3,5,14,E
찰떡빵_연유콩떡빵,빵 및 과자류,316,6.32,28.42,4.53,200.0,,3,3,2,1,5,14,E
허니브레드_메이플 허니브레드,빵 및 과자류,327,6.07,15.36,,382.0,,3,3,3,2,5,16,E
와플_호두고구마 와플,빵 및 과자류,314,5.33,14.0,5.33,279.0,,3,3,2,1,5,14,E
츄러스_초콜릿 스틱츄,빵 및 과자류,366,5.56,16.16,4.17,319.0,,3,3,2,1,5,14,E
츄러스_쫀듸기,빵 및 과자류,347,7.0,18.59,0.69,665.0,,3,3,0,3,5,14,E
츄러스_오레오 초코 링츄,빵 및 과자류,356,1.71,16.59,3.05,434.0,,3,3,1,2,5,14,E
번_쿠키&크림 번버거,빵 및 과자류,295,4.18,17.21,8.61,183.0,,3,3,3,1,5,15,E
츄러스_오레오 스틱츄,빵 및 과자류,325,5.21,13.59,1.56,397.0,,3,3,1,2,5,14,E
츄러스_오레오 롱츄,빵 및 과자류,350,6.95,12.2,3.05,411.0,,3,3,1,2,5,14,E
츄러스_아몬드초코 링츄,빵 및 과자류,406,9.11,16.67,3.33,391.0,,3,3,1,2,5,14,E
츄러스_버터 갈릭 스틱츄,빵 및 과자류,304,5.1,14.84,1.61,683.0,,3,3,1,3,5,15,E
찰떡빵_울퉁불퉁왕찰떡빵 (대),빵 및 과자류,378,8.13,21.14,4.88,252.0,,3,3,2,1,5,14,E
츄러스_바삭 후레이크 링츄,빵 및 과자류,374,6.71,14.76,2.8,381.0,,3,3,1,2,5,14,E
츄러스_케이준츄라이,빵 및 과자류,478,6.11,8.33,1.89,774.0,,3,2,1,3,5,14,E
번_플레이번 바닐라,빵 및 과자류,343,9.2,12.64,5.75,297.0,,3,3,2,1,5,14,E
번_티라미수 번버거,빵 및 과자류,282,4.61,15.97,8.48,161.0,,3,3,3,0,5,14,E
번_크림치즈번,빵 및 과자류,359,8.57,16.0,8.57,362.0,,3,3,3,2,5,16,E
와플_오레오생크림 와플,빵 및 과자류,324,4.92,26.07,6.79,189.0,,3,3,2,1,5,14,E
피자_치즈 러버 피자 씬 (L),빵 및 과자류,338,16.57,3.71,10.76,510.0,,3,1,3,3,5,15,E
와플_아몬드빼빼로 와플,빵 및 과자류,421,5.26,21.05,10.53,171.0,,3,3,3,0,5,14,E
치즈빵_크림치즈 살라망드,빵 및 과자류,371,7.78,22.59,12.96,191.0,,3,3,3,1,5,15,E
버터빵_소금버터롤,빵 및 과자류,387,11.29,8.06,9.68,435.0,,3,2,3,2,5,15,E
치즈빵_호두아몬드크림치즈빵,빵 및 과자류,332,8.76,11.68,5.84,343.0,,3,2,2,2,5,14,E
치즈빵_트리플치즈캐슈넛,빵 및 과자류,294,10.49,4.9,4.9,469.0,,3,1,2,3,5,14,E
피자_쉬림프페스츄리 피자,빵 및 과자류,289,13.33,4.67,9.73,402.0,,3,1,3,2,5,14,E
치즈빵_쫀득치즈스틱 (3개입),빵 및 과자류,356,2.22,7.78,4.11,389.0,,3,2,2,2,5,14,E
버거_화이트갈릭싸이 버거,빵 및 과자류,289,14.07,3.8,4.94,511.0,,3,1,2,3,5,14,E
치즈빵_순진크림치즈빵,빵 및 과자류,346,7.41,16.05,9.88,333.0,,3,3,3,2,5,16,E
치즈빵_미니호두아몬드크림치즈빵 (5개입),빵 및 과자류,332,8.76,11.68,5.84,343.0,,3,2,2,2,5,14,E
치즈빵_치즈감자봉,빵 및 과자류,353,6.32,7.37,5.26,400.0,,3,2,2,2,5,14,E
치즈빵_처음만난크림치즈,빵 및 과자류,356,10.0,12.0,9.0,485.0,,3,2,3,3,5,16,E
치즈빵_크림치즈호두빵,빵 및 과자류,328,9.44,10.0,7.78,350.0,,3,2,3,2,5,15,E
와플_스프링클빼빼로 와플,빵 및 과자류,425,5.56,22.22,11.11,178.0,,3,3,3,0,5,14,E
번_커피콩빵,빵 및 과자류,423,8.57,30.0,7.14,261.0,,3,3,2,1,5,14,E
번_커피번,빵 및 과자류,387,7.25,8.7,13.04,357.0,,3,2,3,2,5,15,E
치즈빵_쉑쉑모찌볼 어니언 (9개입),빵 및 과자류,414,7.07,8.08,4.75,495.0,,3,2,2,3,5,15,E
치즈빵_쉑쉑모찌볼 어니언 (6개입),빵 및 과자류,409,3.03,7.58,4.7,485.0,,3,2,2,3,5,15,E
치즈빵_쉑쉑모찌볼 어니언 (3개입),빵 및 과자류,409,3.03,9.09,4.85,485.0,,3,2,2,3,5,15,E
치즈빵_쉑쉑모찌볼 어니언 (1개입),빵 및 과자류,409,8.18,8.18,4.55,500.0,,3,2,2,3,5,15,E
치즈빵_빙빙크림치즈,빵 및 과자류,342,8.89,5.56,12.22,418.0,,3,1,3,2,5,14,E
피자_쉬림프고르곤졸라 피자,빵 및 과자류,423,23.13,6.18,10.91,682.0,,3,1,3,3,5,15,E
치즈빵_미니크림치즈호두빵,빵 및 과자류,328,9.44,10.0,7.78,350.0,,3,2,3,2,5,15,E
치즈빵_미니크림치즈호두빵 (8개입),빵 및 과자류,333,10.0,10.0,8.0,350.0,,3,2,3,2,5,15,E
카스텔라_민트초코 생크림 카스텔라,빵 및 과자류,326,7.2,24.8,8.8,273.0,,3,3,3,1,5,15,E
버터빵_고메소금빵,빵 및 과자류,374,9.43,3.77,7.55,377.0,,3,1,3,2,5,14,E
치즈빵_치즈 퐁듀,빵 및 과자류,316,4.0,8.0,8.0,316.0,,3,2,3,1,5,14,E
